Ano;Trimestre;Precio en dolares corrientes;Tipo de cambio;IPC;Precio en soles corrientes;Precio en soles constantes de 2009;Distrito;Superficie ;Numero de habitaciones;Numero de banos;Numero de garajes;Piso de ubicacion;Vista al exterior;Anos de antiguedad
2024;1;125 000;3.76;162.44;469 903;289 286;Breña;80;3;2;0;0;1;1
2024;1;90 000;3.76;162.44;338 330;208 286;Breña;103;3;3;0;0;1;12
2024;1;85 000;3.76;162.44;319 534;196 715;Breña;76;2;2;0;0;1;8
2024;1;68 000;3.76;162.44;255 627;157 372;Breña;67;3;2;0;0;1;7
2024;1;82 000;3.76;162.44;308 256;189 772;Breña;83;3;2;0;0;1;23
2024;1;90 000;3.76;162.44;338 330;208 286;Breña;64;3;1;0;0;1;6
2024;1;60 000;3.76;162.44;225 553;138 857;Breña;65;2;1;0;0;1;60
2024;1;97 000;3.76;162.44;364 645;224 486;Breña;71;3;2;0;0;1;4
2024;1;90 000;3.76;162.44;338 330;208 286;Breña;64;1;1;0;0;1;6
2024;1;64 000;3.76;162.44;240 590;148 115;Breña;70;2;1;0;0;1;40
2024;1;44 109;3.76;162.44;165 815;102 081;Carabayllo;57;2;1;1;0;1;9
2024;1;36 500;3.76;162.44;137 212;84 472;Carabayllo;62;3;2;0;0;1;0
2024;1;55 000;3.76;162.44;206 757;127 286;Carabayllo;89;3;2;1;0;1;5
2024;1;55 000;3.76;162.44;206 757;127 286;Carabayllo;65;3;2;0;0;1;9
2024;1;50 000;3.76;162.44;187 961;115 715;Carabayllo;52;2;1;0;0;1;0
2024;1;45 000;3.76;162.44;169 165;104 143;Carabayllo;63;3;2;0;0;1;10
2024;1;40 650;3.76;162.44;152 812;94 076;Carabayllo;53;3;2;0;0;1;9
2024;1;55 000;3.76;162.44;206 757;127 286;Carabayllo;60;3;1;1;0;1;2
2024;1;58 000;3.76;162.44;218 035;134 229;Carabayllo;64;3;2;0;0;1;10
2024;1;41 000;3.76;162.44;154 128;94 886;Carabayllo;62;3;1;0;0;1;6
2024;1;43 000;3.76;162.44;161 647;99 515;Carabayllo;72;2;1;0;0;1;15
2024;1;35 000;3.76;162.44;131 573;81 000;Carabayllo;72;2;1;0;0;1;15
2024;1;128 000;3.76;162.44;481 181;296 229;Cercado de Lima;65;3;2;0;0;1;0
2024;1;158 257;3.76;162.44;594 925;366 253;Cercado de Lima;100;3;1;0;0;1;24
2024;1;111 743;3.76;162.44;420 065;258 605;Cercado de Lima;75;3;2;1;0;1;12
2024;1;91 919;3.76;162.44;345 544;212 727;Cercado de Lima;96;3;2;0;0;1;46
2024;1;133 931;3.76;162.44;503 475;309 954;Cercado de Lima;80;3;2;1;0;1;1
2024;1;44 750;3.76;162.44;168 227;103 566;Cercado de Lima;96;3;2;0;0;1;42
2024;1;70 000;3.76;162.44;263 146;162 000;Cercado de Lima;66;1;1;0;0;1;63
2024;1;75 500;3.76;162.44;283 821;174 729;Cercado de Lima;62;3;2;0;0;1;8
2024;1;85 210;3.76;162.44;320 325;197 202;Cercado de Lima;84;2;2;1;0;1;15
2024;1;129 900;3.76;162.44;488 323;300 626;Cercado de Lima;84;3;2;2;0;1;15
2024;1;69 505;3.76;162.44;261 284;160 855;Cercado de Lima;90;2;1;0;0;1;10
2024;1;93 564;3.76;162.44;351 729;216 535;Cercado de Lima;48;2;2;0;0;1;0
2024;1;108 267;3.76;162.44;407 001;250 562;Cercado de Lima;72;3;2;0;0;1;6
2024;1;93 564;3.76;162.44;351 729;216 535;Cercado de Lima;61;2;2;0;0;1;3
2024;1;66 030;3.76;162.44;248 220;152 812;Cercado de Lima;60;3;2;0;0;1;15
2024;1;95 000;3.76;162.44;357 126;219 858;Cercado de Lima;72;3;2;1;0;1;13
2024;1;97 000;3.76;162.44;364 645;224 486;Cercado de Lima;60;3;2;0;0;1;3
2024;1;125 000;3.76;162.44;469 903;289 286;Cercado de Lima;109;3;1;0;0;1;40
2024;1;65 000;3.76;162.44;244 350;150 429;Cercado de Lima;65;4;3;0;0;1;9
2024;1;79 000;3.76;162.44;296 979;182 829;Cercado de Lima;67;3;2;0;0;1;15
2024;1;105 000;3.76;162.44;394 718;243 001;Cercado de Lima;100;3;1;1;0;1;50
2024;1;90 000;3.76;162.44;338 330;208 286;Cercado de Lima;100;5;2;0;0;1;24
